Rank,Name,Keywords,Corr,pvalue,Signedcorrvalue,ID
679,MF_CompareTestSets_y_ar_4_rand_25_01_1_ac1s_iqr,"model,prediction,stationarity",0.402,3.7028802437274065e-40,-0.402,7001
680,NL_MS_nlpe_2_mi_sbc1,"nonlinear,prediction,model",0.402,6.672905519577517e-40,-0.402,6684
681,MF_arfit_1_8_sbc_pcorr_res,"modelfit,arfit",0.402,3.362569726461598e-40,0.402,6619
682,SY_SlidingWindow_lil_ent10_1,stationarity,0.402,3.9438531816595704e-40,0.402,717
683,ST_LocalExtrema_n100_meanabsext,"distribution,stationarity",0.401,6.766847440475402e-40,0.401,3473
684,SY_RangeEvolve_nuqp1,stationarity,0.401,5.1935644413356615e-40,0.401,2276
685,SY_SlidingWindow_ac1_ent5_2,stationarity,0.401,7.540932277688137e-40,-0.401,738
686,NL_TSTL_ReturnTime_5_1_40_n1_1_8_max,"nonlinear,tstool",0.400,1.0521515861266517e-39,-0.400,5592
687,NL_TSTL_LargestLyap_n1_01_001_3_1_4_expfit_a,"nonlinear,tstool",0.400,6.027778588231672e-39,0.400,5570
688,CO_AddNoise_1_quantiles_10_fitexprmse,"correlation,AMI,entropy",0.400,8.521872752394314e-40,-0.400,1160
689,SY_SlidingWindow_lil_s2_10,stationarity,0.400,8.435821294069907e-40,-0.400,699
690,NL_MS_nlpe_2_mi_ac1n,"nonlinear,prediction,model",0.399,2.592590188819786e-39,0.399,6674
691,WL_coeffs_db3_4_wb50m,wavelet,0.399,1.3567040845095923e-39,-0.399,6524
692,PH_ForcePotential_sine_10_004_10_range,dynamicalSystem,0.399,1.7309514597536717e-39,0.399,1679
693,CO_AddNoise_1_std1_10_pcrossmean,"correlation,AMI,entropy",0.399,2.0653011802493782e-39,-0.399,1240
694,SY_SlidingWindow_ac1_s5_2,stationarity,0.399,1.5073206798641442e-39,-0.399,724
695,MD_rawHRVmeas_trisqrt,"medical,raw",0.398,3.2430086136683745e-39,0.398,7700
696,MF_GARCHfit_ar_P1_Q1_stde_acmnd0,model,0.398,2.26128610320457e-39,0.398,7407
697,MF_StateSpace_n4sid_2_05_1_ac1n,model,0.398,3.2033334727173035e-39,0.398,7135
698,MF_FitSubsegments_arsbc_rand_25_01_orders_mode,"model,prediction,arfit",0.398,3.619388364562582e-39,0.398,6940
699,NL_TSTL_GPCorrSum2_n1_05_100_20_ac_fnnmar_meanlnCr,"nonlinear,correlation,tstool,stochastic",0.398,9.120382720124845e-38,-0.398,5126
700,MF_ExpSmoothing_05_best_propbth,model,0.397,5.3670661429091873e-39,-0.397,7355
701,PH_ForcePotential_dblwell_2_005_02_ac10,dynamicalSystem,0.397,3.613992579063332e-39,0.397,1637
702,CO_AddNoise_ac_std1_10_firstUnder50,"correlation,AMI,entropy",0.397,3.78944922158492e-39,-0.397,1246
703,MF_armax_2_2_05_1_ftbth,model,0.396,5.499546717861146e-39,0.396,7319
704,ST_LocalExtrema_n100_medianabsext,"distribution,stationarity",0.396,8.056186641964035e-39,0.396,3474
705,CO_AddNoise_ac_kraskov1_4_fitexpr2,"correlation,AMI,entropy",0.396,7.299306015771339e-39,0.396,1329
706,SY_LocalGlobal_iqr_l500,"stationarity,distribution",0.396,6.36823755470704e-39,0.396,806
707,PH_ForcePotential_sine_1_1_1_finaldev,dynamicalSystem,0.395,1.3087116069349928e-38,0.395,1675
708,MF_GARCHfit_ar_P1_Q2_stde_acmnd0,model,0.394,1.8084400023854636e-38,0.394,7464
709,ST_LocalExtrema_n100_medianmax,"distribution,stationarity",0.394,1.812428377013276e-38,0.394,3466
710,SY_SlidingWindow_lil_s2_2,stationarity,0.394,1.9827529186639953e-38,-0.394,698
711,CP_ML_StepDetect_l1pwc_02_nsegments,stepdetection,0.393,3.202587558517356e-38,-0.393,7623
712,NL_TSTL_LargestLyap_n1_01_001_3_1_4_ve_rmsres,"nonlinear,tstool",0.393,4.1496631392964337e-38,0.393,5566
713,NL_TSTL_LargestLyap_n1_01_001_3_mi_fnnmar_expfit_b,"nonlinear,tstool",0.393,2.8729674915753385e-37,0.393,5543
714,FC_Surprise_dist_50_3_udq_500_min,"information,symbolic",0.393,3.5304322376450816e-38,-0.393,2412
715,MF_StateSpace_n4sid_1_05_1_propbth,model,0.392,3.555593419346476e-38,-0.392,7102
716,FC_Surprise_dist_100_5_udq_500_max,"information,symbolic",0.392,4.3277215442271753e-38,0.392,2429
717,SY_SlidingWindow_ac1_ent5_1,stationarity,0.392,3.9129645409894914e-38,-0.392,737
718,MF_StateSpace_n4sid_2_05_1_sbc1,model,0.391,5.671145416446512e-38,-0.391,7145
719,MF_StateSpace_n4sid_2_05_1_ac3n,model,0.391,7.116430535172873e-38,0.391,7137
720,MF_CompareTestSets_y_ss_best_uniform_25_01_1_mabserr_iqr,"model,prediction,stationarity",0.391,5.954855945242359e-38,-0.391,7037
721,EX_MovingThreshold_01_01_minq,outliers,0.391,6.205037746485772e-38,-0.391,3484
722,SY_SlidingWindow_ac1_s5_1,stationarity,0.391,7.751787269258464e-38,-0.391,723
723,SC_FluctAnal_2_rsrangefit_50_1_logi_resac1,scaling,0.390,1.3270925970144953e-37,0.390,4094
724,SC_FluctAnal_2_nothing_50_logi_stdssr,scaling,0.390,9.345333602102301e-38,-0.390,3955
725,ST_LocalExtrema_n100_meanabsmin,"distribution,stationarity",0.390,1.2346782525065027e-37,0.390,3464
726,MF_GARCHfit_ar_P1_Q2_stde_propbth,model,0.389,1.9456742550792104e-37,-0.389,7466
727,MF_armax_2_2_05_1_ac1n,model,0.389,1.560344645605858e-37,0.389,7313
728,MF_armax_3_1_05_1_ac2n,model,0.389,1.5272066373453632e-37,0.389,7248
729,MF_StateSpace_n4sid_3_05_1_propbth,model,0.389,1.882380753207594e-37,-0.389,7185
730,NL_MS_nlpe_fnn_mi_sbc1,"nonlinear,prediction,model,slow",0.389,3.4130754140189795e-37,-0.389,6738
731,NL_MS_nlpe_3_ac_ac1n,"nonlinear,prediction,model",0.389,6.389918120219451e-37,0.389,6701
732,NL_MS_nlpe_2_mi_acmnd0,"nonlinear,prediction,model",0.389,2.565991722732075e-37,0.389,6677
733,NL_TSTL_LargestLyap_n1_01_001_3_1_4_vse_minbad,"nonlinear,tstool",0.389,3.2558236923224898e-37,-0.389,5564
734,SP_Summaries_fft_fpoly2csS_p3,FourierSpectrum,0.389,1.7901906376817979e-37,0.389,4614
735,SP_Summaries_welch_rect_fpoly2csS_p3,FourierSpectrum,0.389,1.763612127188924e-37,0.389,4490
736,SB_TransitionMatrix_41_symdiff,"symbolic,transitionmat",0.389,1.700782335228114e-37,-0.389,1358
737,WL_coeffs_db3_3_wb50m,wavelet,0.388,2.298326673465908e-37,-0.388,6514
738,NL_TSTL_dimensions_50_ac_fnnmar_scr_bc_mopt_scaling_exp,"nonlinear,tstool,scaling,dimension",0.388,3.026912466298513e-36,0.388,5241
739,SP_Summaries_fft_maxProm,FourierSpectrum,0.388,2.775019887460841e-37,0.388,4575
740,SP_Summaries_welch_rect_maxProm,FourierSpectrum,0.388,3.389012228911023e-37,0.388,4451
741,EN_Randomize_dyndist_statav5fexpc,"entropy,slow,stationarity",0.388,2.334933861623139e-37,-0.388,2974
742,FC_Surprise_T2_100_4_udq_500_max,"information,symbolic",0.388,2.6205607018404107e-37,0.388,2485
743,SY_SlidingWindow_ac1_sampen10_2,stationarity,0.388,3.100765988804434e-37,-0.388,732
744,MF_GARCHfit_ar_P1_Q2_GARCHerr_1,model,0.387,5.364809396369736e-37,-0.387,7421
745,MF_GARCHfit_ar_P1_Q1_stde_propbth,model,0.387,4.455409285349701e-37,-0.387,7409
746,MF_FitSubsegments_arma_2_2_uniform_25_01_fpe_range,"model,prediction",0.387,4.150087071207714e-37,-0.387,6973
747,SB_BinaryStats_diff_longstretch1,"distribution,stationarity",0.387,4.960242238860082e-37,0.387,3526
748,SB_BinaryStretch_lseq0,binary,0.387,4.93118237319586e-37,-0.387,913
